Product_Name,Category_Type,Sale_Price,Original_Price,Discount_Percentage,Rating,Review_Count,Stock_Status,Available_Colors,Tags
Snap Zbuds,Earbuds,6999.0,14999.0,53.0,4.78,207.0,In Stock,"Lavender Haze, Cool Grey, Pearl White","10 10 Sale, daraz, defence bestsellers, defence watches, defence-earbuds, earbuds, Funday Sale, Gaming Earbuds, Hot deals, jinnah-sale, lifestyle, luxury, preorder, Productivity, snap"
Legacy Smartwatch,Smart Watch,17999.0,24999.0,28.0,4.9,83.0,In Stock,"Black Gold, Gold Black, Silver Blue","10 10 Sale, defence bestsellers, defence watches, Hot deals, jinnah-sale, legacy, lifestyle, luxury, platinum series products, pre-order, preorder, smart watch, smart watch price, smart watch price in pakistan, smartwatch, Vision 2026"
Vision Smartwatch,Smart Watch,9899.0,24999.0,60.0,4.81,52.0,In Stock,"Black, Gray Silver, Blue Silver, Black Gold, Beige Gold","Clearance, sale, smartwatch"
Arcade Beast,Earbuds,5499.0,11999.0,54.0,4.83,36.0,In Stock,"Stealth Black, Thunder Blue, Convert White, Gaming black","Arcade Series, beast, Clearance, defence-earbuds, earbuds, Gaming Earbuds, Hot deals"
Orbit 2 Smartwatch,Smart Watch,7499.0,22999.0,67.0,4.84,216.0,Out of Stock,"Gray Silver, Black, Coffee, Black Gold, Marsala Gold, Pink Golden","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, defence bestsellers, defence watches, Funday Sale, Hot deals, lifestyle, limited, luxury, orbit-2, Productivity, sale, smart watch, smart watch price, smart watch price in pakistan, smartwatch"
Striker Earbuds,Earbuds,7999.0,13999.0,43.0,4.92,235.0,Out of Stock,"Gaming Black, Gaming Camou Beige, Jet Black, Camou Beige, Camou Gray, Gaming Camou Gray, Forest Green, Gaming-Forest Green","10 10 Sale, Arcade Series, army, Clearance, defence bestsellers, defence-earbuds, earbuds, Gaming Earbuds, Hot deals, pubg, Striker"
Storm Headphones,Headphones,6999.0,22999.0,70.0,4.86,310.0,In Stock,"Black, Midnight Blue, Blue, Red, Beige, White","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, defence bestsellers, defence watches, defence-earbuds, earbuds, Experience at Zero, Funday Sale, Hot deals, jinnah-sale, Monsoon 1000, Monsoon 2000, Monsoon 500, storm, Summer 1000, Summer 2000, Summer 500"
Jewel Smartwatch,Smart Watch,12999.0,27000.0,52.0,4.89,151.0,In Stock,"Golden Milannese, Gold Metal, Silver Metal, Pink Leather, Pearl White Leather, Silver Milannese, Black Milannese, Black Metal","Hot deals, jewel, jinnah-sale, platinum series products, sale, smart watch, smart watch price, smart watch price in pakistan, smartwatch"
Vibe Earbuds,Earbuds,3999.0,14999.0,73.0,4.82,265.0,In Stock,"Jet Black, Pearl White, Storm Green, Midnight Blue","10 10 Sale, earbuds, Funday Sale, Hot deals, jinnah-sale, sale, vibe"
Edge Smartwatch,Smart Watch,6499.0,9999.0,35.0,4.74,253.0,In Stock,"Jet Black, Midnight Blue, Gray, Rose Pink, Red Berry","10 10 Sale, compare, defence bestsellers, defence watches, Edge, Hot deals, jinnah-sale, Monsoon 1000, Monsoon 2000, Monsoon 500, smart watch, smartwatch"
Flair Earbuds,Earbuds,4499.0,13999.0,68.0,4.82,440.0,Out of Stock,"Carbon Black, Calm Beige, Cool Blue, Forest Green","Clearance, defence bestsellers, defence watches, defence-earbuds, earbuds, flair, Hot deals, lifestyle, luxury, Productivity, sale"
Zero Armour Smartwatch,Smart Watch,8999.0,22449.0,60.0,4.83,376.0,In Stock,"Camou Grey, Blue, Jet Black, Teal Green, Misty Gray","armour, army, Clearance, Hot deals, smart watch, Smart Watch Price in Pakistan"
Ignite Smartwatch,Smart Watch,5999.0,21499.0,72.0,4.81,1314.0,In Stock,"Black Gold, Black, Blue, Grey, Green Gold, Red","10 10 Sale, defence bestsellers, defence watches, Experience at Zero, Funday Sale, Hot deals, ignite, jinnah-sale, limited, Monsoon 1000, sale"
Display Earbuds,Earbuds,9999.0,19999.0,50.0,4.93,88.0,In Stock,"Metallic Black, Metallic White, Metallic Blue, Metallic Green, Metallic Beige","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, 3d, defence bestsellers, defence-earbuds, display, earbuds, Funday Sale, Gaming Earbuds, Hot deals, jinnah-sale, lifestyle, Monsoon 1000, Monsoon 2000, Monsoon 500, Productivity, sale, secret, Summer 1000, Summer 2000, Summer 500, Vision 2026, vision-2025"
Robo Earbuds,Earbuds,11999.0,29999.0,60.0,4.87,92.0,Out of Stock,"Milky White, Jet Black, Midnight Blue","Clearance, compare, defence bestsellers, defence-earbuds, earbuds, Hot deals, lifestyle, robo, sale, Vision 2026"
Orbit Smart Watch,Smart Watch,7999.0,12999.0,38.0,4.73,86.0,Out of Stock,"BLUE, GOLD BLACK, BLACK SPORTY RED RINGS, BLACK SPORTY GRAY RINGS","smart watch, smart watch price in pakistan, smartwatch"
