Product_ID,Product_Name,Category_Type,Sale_Price,Original_Price,Discount_Percentage,Rating,Review_Count,Stock_Status,Available_Colors,Tags,Source_URL
10602954522902,Lumin L-300 Power Bank,Powerbank,"Rs.24,999","Rs.45,999",46% OFF,0,,In Stock,"Orange, Black","powerbank, pre-order",https://zerolifestyle.co/products/lumin-l-300-power-bank
10674292195606,Core X 10000 Power Bank,Powerbank,"Rs.9,499","Rs.23,999",60% OFF,5.0,1,In Stock,"Gray, Silver","powerbank, pre-order",https://zerolifestyle.co/products/core-x-power-bank
10692509368598,Glide Zbuds,Earbuds,"Rs.8,499","Rs.15,999",47% OFF,0,,In Stock,"Black, Blue, Green","earbuds, pre-order",https://zerolifestyle.co/products/glide-zbuds
10674295570710,Pulse Pro 200 Power Bank,Powerbank,"Rs.12,999","Rs.24,999",48% OFF,0,,In Stock,Black,"powerbank, pre-order",https://zerolifestyle.co/products/pulse-pro-power-bank
10552248467734,Regal AI Pro Smartwatch,Smart Watch,"Rs.29,999","Rs.39,999",25% OFF,5.0,2,In Stock,"Black Gold, Brown Gold, Silver Black, Green Gold, Black Green","pre-order, smartwatch",https://zerolifestyle.co/products/regal-ai-pro-smartwatch-1
10652905046294,Arcade Nitro Zbuds,Earbuds,"Rs.6,499","Rs.14,999",57% OFF,5.0,4,In Stock,"Neon White, Battle Green, Phantom Black","earbuds, pre-order",https://zerolifestyle.co/products/arcade-nitro-zbuds
10592265732374,Nexus Pro Zbuds,Earbuds,"Rs.7,999","Rs.24,999",68% OFF,4.79,19,In Stock,"Lilac Purple, Jet Black, Milky White, Ice Blue, Forest Green","earbuds, pre-order",https://zerolifestyle.co/products/nexus-pro-zbuds
10646462398742,Pakistan Edition Z BUDS,Earbuds,"Rs.9,999","Rs.9,999",0% OFF,4.5,4,In Stock,Pak Edition Gift Box,pre-order,https://zerolifestyle.co/products/pakistan-edition
10512973889814,Voltix V-200 Power Bank,Powerbank,"Rs.9,499","Rs.22,999",59% OFF,4.62,16,In Stock,"Black, Blue, Gradient Green","powerbank, pre-order",https://zerolifestyle.co/products/10000mah-power-bank
10601604350230,Lumin L-200 Power Bank,Powerbank,"Rs.8,999","Rs.22,999",61% OFF,4.5,2,In Stock,"Black, Dark Blue, Orange","powerbank, pre-order",https://zerolifestyle.co/products/lumin-l-200-power-bank
10601605792022,Lumin L-100 Power Bank,Powerbank,"Rs.5,999","Rs.18,999",68% OFF,4.86,14,In Stock,"Orange, Black, Dark Blue","powerbank, pre-order",https://zerolifestyle.co/products/lumin-l-100-power-bank
10601631285526,Voltix V-100 Power Bank,Powerbank,"Rs.5,999","Rs.18,999",68% OFF,4.77,30,In Stock,"Black, Gradient Blue, Silver","powerbank, pre-order",https://zerolifestyle.co/products/voltix-v-100-power-bank
10592245973270,Gravity Pro Earbuds,Earbuds,"Rs.7,999","Rs.24,999",68% OFF,4.59,22,In Stock,"Glacier Blue, Graphite Black, Seafoam Green","earbuds, pre-order",https://zerolifestyle.co/products/gravity-pro-earbuds
10567608107286,Wave ANC Zbuds,Earbuds,"Rs.5,999","Rs.24,999",76% OFF,4.7,43,In Stock,"Lava Black, Moonstone Beige, Cloud Black",earbuds,https://zerolifestyle.co/products/wave-anc-zbuds
10506946674966,Jewel Pro Smartwatch,Smart Watch,"Rs.15,999","Rs.27,999",43% OFF,4.81,36,In Stock,"Silver Gold Ring, Purple Ring, Blue Ring","platinum series products, pre-order, smartwatch",https://zerolifestyle.co/products/jewel-pro
10509634011414,Klarity Zbuds,Earbuds,"Rs.4,999","Rs.13,999",64% OFF,4.57,63,In Stock,"White Glassy, Red Glassy, Blue Glassy, Beige Glassy",earbuds,https://zerolifestyle.co/products/klarity-zbuds
10505570189590,Halo Pro Headphones,Headphones,"Rs.8,999","Rs.22,999",61% OFF,4.71,84,Out of Stock,"Rose gold, Black Gold, Matt Black, Army Green",earbuds,https://zerolifestyle.co/products/halo-pro
10505562194198,Open Zbuds,Earbuds,"Rs.5,999","Rs.14,999",60% OFF,4.81,27,In Stock,"White Green, Black Orange",earbuds,https://zerolifestyle.co/products/open-zbuds
10500398776598,Wave Elite Zbuds,Earbuds,"Rs.4,999","Rs.15,000",67% OFF,4.71,229,Out of Stock,"Black Ruby, Creamy Beige, Rose gold, Blue Breeze, Green Envy",earbuds,https://zerolifestyle.co/products/wave-elite
10476918538518,Flow Zbuds,Earbuds,"Rs.4,999","Rs.24,999",80% OFF,4.78,235,In Stock,"Flame Black, Black Gray, Pearl White, Blue Black, Green Black","10 10 Sale, compare, defence bestsellers, earbuds, Experience at Zero, flow, Hot deals, jinnah-sale, Vision 2026",https://zerolifestyle.co/products/flow-earbuds
8957936075030,Luna Smartwatch,Smart Watch,"Rs.5,999","Rs.21,999",73% OFF,4.85,2341,In Stock,"Black, Gray, Black Gold, Pink Gold, Blue, Sporty Gray Rings, Sporty Red Rings","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, defence bestsellers, defence watches, Experience at Zero, Funday Sale, Hot deals, jinnah-sale, luna, Monsoon 1000, Monsoon 2000, Monsoon 500, sale, smart watch, smart watch price, smart watch price in pakistan, smartwatch, Summer 1000, Summer 2000, Summer 500",https://zerolifestyle.co/products/luna-smart-watch
10107920711958,Luna Pro,Smart Watch,"Rs.6,999","Rs.16,999",59% OFF,4.76,265,In Stock,"Silver, Black","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, compare, defence bestsellers, defence watches, Hot deals, jinnah-sale, lifestyle, Luna Pro, luxury, Monsoon 1000, Monsoon 2000, Monsoon 500, preorder, Productivity, smart watch, smart watch price, smart watch price in pakistan, smartwatch, Summer 1000, Summer 2000, Summer 500",https://zerolifestyle.co/products/luna-pro
10398108582166,Thunder Pro Speaker,Speaker,"Rs.39,999","Rs.69,999",43% OFF,4.96,28,In Stock,"Black, Camou Grey","10 10 Sale, Experience at Zero, extra-off, Hot deals, Speaker, thunder-pro",https://zerolifestyle.co/products/thunder-speaker
10446838399254,Rover Elite Earbuds,Earbuds,"Rs.4,499","Rs.14,999",70% OFF,4.68,114,In Stock,"Shadow Black, Moss Green, Ivory Beige, Arctic Sky","10 10 Sale, defence bestsellers, defence-earbuds, earbuds, Hot deals, jinnah-sale, sale",https://zerolifestyle.co/products/rover-elite-earbuds
10421921513750,Bolt Pro Smartwatch,Smart Watch,"Rs.6,999","Rs.19,999",65% OFF,4.75,121,In Stock,"Jet Black, Vintage brown, Graphite Mauve, Midnight Blue, Pearl Grey","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, bolt-pro, defence bestsellers, defence watches, Experience at Zero, Hot deals, Qube, sale, smart watch, smart watch price, smartwatch",https://zerolifestyle.co/products/bolt-pro
10418358845718,Qube Smartwatch,Smart Watch,"Rs.6,999","Rs.19,999",65% OFF,4.61,234,In Stock,"Starlight Silver, Black, Gray Silver, Pink Rose","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, defence bestsellers, defence watches, Experience at Zero, Hot deals, Qube, sale, smart watch, smart watch price, smartwatch",https://zerolifestyle.co/products/qube-smartwatch
8316082684182,Caliber Pro Smart Watch,,"Rs.6,999","Rs.20,499",66% OFF,4.74,215,Out of Stock,"Blue, GOLD BLACK, GOLDEN REDBERRY, JET BLACK, PINK ROSE, SILVER GREY",,https://zerolifestyle.co/products/caliber-pro-smart-watch
10396744483094,Opal ANC Earbuds,Earbuds,"Rs.6,999","Rs.24,999",72% OFF,4.76,38,In Stock,"Milky White, Black, Beige","10 10 Sale, compare, defence bestsellers, earbuds, Experience at Zero, extra-off, Hot deals, jinnah-sale, opal, Vision 2026",https://zerolifestyle.co/products/opal-earbuds
10311576977686,Fusion Earbuds,Earbuds,"Rs.5,499","Rs.11,999",54% OFF,4.86,65,In Stock,"Blue Black, Black, Red Black, Silver Black","10 10 Sale, defence bestsellers, defence-earbuds, earbuds, fusion, Hot deals, jinnah-sale, Vision 2026",https://zerolifestyle.co/products/fusion-earbuds
8124633514262,Bolt Smart Watch,Smart Watch,"Rs.8,999","Rs.8,999",0% OFF,4.68,470,Out of Stock,"Pine Green, Vintage Brown, Midnight Blue, Graphite Mauve, Jet Black, Pearl Grey",,https://zerolifestyle.co/products/bolt-smart-watch
10302852333846,Navigator Smartwatch,Smart Watch,"Rs.12,999","Rs.32,999",61% OFF,4.87,162,Out of Stock,"Black Red, Green, Camou Gray, Orange, Beige, Black","10 10 Sale, army, defence bestsellers, defence watches, Experience at Zero, Hot deals, jinnah-sale, lifestyle, navigator, platinum series products, Productivity, smart watch, smart watch price, smart watch price in pakistan, smartwatch, Vision 2026",https://zerolifestyle.co/products/navigator-smartwatch
10273119535382,Aero Earbuds,Earbuds,"Rs.3,999","Rs.14,999",73% OFF,4.77,439,In Stock,"Hyper Red, Jet Black, Space White, Aqua Green, Midnight Blue","10 10 Sale, defence bestsellers, defence-earbuds, earbuds, Hot deals, jinnah-sale, sale",https://zerolifestyle.co/products/aero-earbuds
8244256112918,Terra Fit Smartwatch,Smart Watch,"Rs.6,499","Rs.21,999",70% OFF,4.69,268,In Stock,"Rose Pink, Jet Black, Silver Grey, Red Berry, Midnight Blue, Olive Green","10 10 Sale, 11 11 Pair One, 11 11 Pair Two, compare, defence bestsellers, defence watches, jinnah-sale, lifestyle, smart watch, smart watch price, smart watch price in pakistan, smartwatch, terra",https://zerolifestyle.co/products/terra-fit-smart-watch
